Flow Duration,Fwd IAT Mean,Bwd IAT Mean,Fwd PSH Flags,Fwd Packets/s,Bwd Packets/s,Label
3,3.0,0.0,0,666666.6667,0.0,0
109,0.0,0.0,0,9174.311927,9174.311927,0
52,0.0,0.0,0,19230.76923,19230.76923,0
34,0.0,0.0,0,29411.76471,29411.76471,0
3,3.0,0.0,0,666666.6667,0.0,0
1022,1022.0,0.0,0,1956.947162,0.0,0
4,4.0,0.0,0,500000.0,0.0,0
42,0.0,0.0,0,23809.52381,23809.52381,0
4,4.0,0.0,0,500000.0,0.0,0
4,4.0,0.0,1,500000.0,0.0,0
3,3.0,0.0,1,666666.6667,0.0,0
1,1.0,0.0,1,2000000.0,0.0,0
4,4.0,0.0,1,500000.0,0.0,0
3,1.5,0.0,0,1000000.0,0.0,0
54,0.0,0.0,0,18518.51852,18518.51852,0
1,1.0,0.0,0,2000000.0,0.0,0
154,0.0,0.0,0,6493.506494,6493.506494,0
1,1.0,0.0,0,2000000.0,0.0,0
118,0.0,0.0,0,8474.576271,8474.576271,0
239,0.0,0.0,0,4184.100418,4184.100418,0
1,0.5,0.0,0,3000000.0,0.0,0
1,1.0,0.0,0,2000000.0,0.0,0
4,4.0,0.0,1,500000.0,0.0,0
5,2.5,0.0,1,600000.0,0.0,0
4,4.0,0.0,0,500000.0,0.0,0
4,2.0,0.0,0,750000.0,0.0,0
54,0.0,0.0,0,18518.51852,18518.51852,0
42,21.0,0.0,0,71428.57143,0.0,0
4,4.0,0.0,1,500000.0,0.0,0
3,3.0,0.0,1,666666.6667,0.0,0
3,3.0,0.0,1,666666.6667,0.0,0
737,737.0,0.0,1,2713.704206,1356.852103,0
3,3.0,0.0,1,666666.6667,0.0,0
3,3.0,0.0,1,666666.6667,0.0,0
3,3.0,0.0,1,666666.6667,0.0,0
276,138.0,0.0,0,10869.56522,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
1,1.0,0.0,0,2000000.0,0.0,0
105,0.0,0.0,0,9523.809524,9523.809524,0
66,0.0,0.0,0,15151.51515,15151.51515,0
68,0.0,0.0,0,14705.88235,14705.88235,0
48,48.0,0.0,0,41666.66667,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
16,0.0,0.0,0,62500.0,62500.0,0
63,0.0,0.0,0,15873.01587,15873.01587,0
17,0.0,0.0,0,58823.52941,58823.52941,0
123,0.0,0.0,0,8130.081301,8130.081301,0
4,4.0,0.0,0,500000.0,0.0,0
4,4.0,0.0,0,500000.0,0.0,0
49,49.0,0.0,0,40816.32653,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
46,0.0,0.0,0,21739.13043,21739.13043,0
3,3.0,0.0,0,666666.6667,0.0,0
3,3.0,0.0,0,666666.6667,0.0,0
251170,125585.0,0.0,0,11.9441016,0.0,0
49,49.0,0.0,0,40816.32653,0.0,0
62,0.0,0.0,0,16129.03226,16129.03226,0
175,175.0,0.0,0,11428.57143,5714.285714,0
37,0.0,0.0,0,27027.02703,27027.02703,0
3,3.0,0.0,0,666666.6667,0.0,0
